test_id,start_time,end_time,pair,period,return_percent,return_buy_hold,win_rate,sharpe_ratio,max_drawdown,best_indicators_combination,filter_buy,trigger_buy,trade_buy,filter_sell,trigger_sell,trade_sell,total_trades,best_trade,worst_trade,average_trade,profit_factor
138,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,3.81,2.6,57.14,0.57,-11.53,"PlaygroundLouis(sma_p_long=80,ema_p_short=10,rsi_layer_cheap=25,rsi_layer_expensive=69,rsi_period=5,max_candles=8)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,21,9.11,-7.51,0.26,1.37
139,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,2.59,2.6,75.0,1.04,-4.34,"PlaygroundLouis(sma_p_long=82,ema_p_short=10,rsi_layer_cheap=25,rsi_layer_expensive=69,rsi_period=6,max_candles=8)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,8,3.27,-3.35,0.4,1.89
140,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,11.7,2.6,52.94,1.68,-5.9,"PlaygroundLouis(sma_p_long=80,ema_p_short=10,rsi_layer_cheap=25,rsi_layer_expensive=69,rsi_period=5,max_candles=8)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,17,9.42,-3.45,0.9,3.25
141,2020-02-01 00:00:00+01:00,2024-09-27 19:00:00+02:00,BTCUSDT,1h,104.98,601.53,69.17,0.28,-65.94,"PlaygroundLouis(sma_p_long=50,ema_p_short=5,rsi_layer_cheap=23,rsi_layer_expensive=79,rsi_period=7,max_candles=5)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,240,28.86,-32.91,0.25,1.26
142,2020-02-01 00:00:00+01:00,2024-09-27 19:00:00+02:00,BTCUSDT,1h,284.86,601.53,63.41,0.41,-71.94,"PlaygroundLouis(sma_p_long=50,ema_p_short=9,rsi_layer_cheap=24,rsi_layer_expensive=79,rsi_period=7,max_candles=5)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,164,34.99,-37.36,0.53,1.38
143,2020-02-01 00:00:00+01:00,2020-03-14 23:00:00+01:00,BTCUSDT,1h,-35.56,-45.0,70.0,0.0,-56.75,"PlaygroundLouis(sma_p_long=50,ema_p_short=5,rsi_layer_cheap=24,rsi_layer_expensive=79,rsi_period=5,max_candles=4)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,10,4.85,-33.2,-4.38,0.32
154,2020-05-31 23:00:00+02:00,2020-07-31 22:00:00+02:00,BTCUSDT,1h,18.74,19.76,66.67,1.81,-7.68,"PlaygroundLouis(sma_p_long=50,ema_p_short=9,rsi_layer_cheap=22,rsi_layer_expensive=77,rsi_period=6,max_candles=5)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,6,17.61,-3.33,2.95,6.5
155,2020-05-31 23:00:00+02:00,2020-07-31 22:00:00+02:00,BTCUSDT,1h,5.77,19.76,100.0,3.47,-1.23,"PlaygroundLouis(sma_p_long=50,ema_p_short=5,rsi_layer_cheap=22,rsi_layer_expensive=77,rsi_period=6,max_candles=5)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,2,3.81,1.91,2.86,nan
156,2020-05-31 23:00:00+02:00,2020-07-31 22:00:00+02:00,BTCUSDT,1h,18.0,19.76,100.0,2.15,-2.1,"PlaygroundLouis(sma_p_long=50,ema_p_short=9,rsi_layer_cheap=20,rsi_layer_expensive=77,rsi_period=6,max_candles=5)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,1,18.12,18.12,18.12,nan
157,2020-05-31 23:00:00+02:00,2020-07-31 22:00:00+02:00,BTCUSDT,1h,4.91,19.76,100.0,3.4,-1.16,"PlaygroundLouis(sma_p_long=50,ema_p_short=5,rsi_layer_cheap=22,rsi_layer_expensive=77,rsi_period=6,max_candles=5)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,2,3.59,1.48,2.53,nan
158,2020-05-31 23:00:00+02:00,2020-07-31 22:00:00+02:00,BTCUSDT,1h,17.58,19.76,100.0,2.13,-2.11,"PlaygroundLouis(sma_p_long=50,ema_p_short=9,rsi_layer_cheap=20,rsi_layer_expensive=77,rsi_period=6,max_candles=5)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,1,17.61,17.61,17.61,nan
159,2021-09-30 23:00:00+02:00,2021-11-30 23:00:00+01:00,BTCUSDT,1h,11.52,30.09,68.0,1.41,-11.46,"PlaygroundLouis(sma_p_long=50,ema_p_short=5,rsi_layer_cheap=22,rsi_layer_expensive=79,rsi_period=4,max_candles=5)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,25,7.05,-10.11,0.6,1.88
160,2021-09-30 23:00:00+02:00,2021-11-30 23:00:00+01:00,BTCUSDT,1h,19.59,30.09,69.57,1.59,-10.19,"PlaygroundLouis(sma_p_long=50,ema_p_short=6,rsi_layer_cheap=22,rsi_layer_expensive=79,rsi_period=4,max_candles=5)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,23,14.7,-10.28,0.75,2.02
161,2021-09-30 23:00:00+02:00,2021-11-30 23:00:00+01:00,BTCUSDT,1h,12.37,30.09,75.0,1.54,-10.15,"PlaygroundLouis(sma_p_long=50,ema_p_short=5,rsi_layer_cheap=22,rsi_layer_expensive=79,rsi_period=4,max_candles=5)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,24,7.05,-10.11,0.68,2.05
162,2021-09-30 23:00:00+02:00,2021-11-30 23:00:00+01:00,BTCUSDT,1h,20.88,30.09,76.19,1.81,-10.27,"PlaygroundLouis(sma_p_long=50,ema_p_short=6,rsi_layer_cheap=22,rsi_layer_expensive=79,rsi_period=4,max_candles=5)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,21,14.48,-10.28,0.87,2.17
163,2021-09-30 23:00:00+02:00,2021-11-30 23:00:00+01:00,BTCUSDT,1h,7.69,30.09,66.67,1.35,-7.5,"PlaygroundLouis(sma_p_long=52,ema_p_short=5,rsi_layer_cheap=22,rsi_layer_expensive=77,rsi_period=4,max_candles=5)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,12,7.05,-2.85,0.85,2.76
164,2021-09-30 23:00:00+02:00,2021-11-30 23:00:00+01:00,BTCUSDT,1h,6.55,30.09,33.33,1.37,-6.55,"PlaygroundLouis(sma_p_long=50,ema_p_short=9,rsi_layer_cheap=22,rsi_layer_expensive=77,rsi_period=5,max_candles=5)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,3,9.74,-0.79,2.72,7.79
165,2021-09-30 23:00:00+02:00,2021-11-30 23:00:00+01:00,BTCUSDT,1h,5.24,30.09,72.73,1.23,-6.47,"PlaygroundLouis(sma_p_long=52,ema_p_short=5,rsi_layer_cheap=22,rsi_layer_expensive=77,rsi_period=4,max_candles=5)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,11,7.05,-2.85,0.67,2.41
166,2021-09-30 23:00:00+02:00,2021-11-30 23:00:00+01:00,BTCUSDT,1h,7.64,30.09,66.67,2.11,-3.98,"PlaygroundLouis(sma_p_long=52,ema_p_short=9,rsi_layer_cheap=21,rsi_layer_expensive=77,rsi_period=5,max_candles=5)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,3,9.74,-0.51,3.21,20.42
